,City,Nickname,Province,Sex,Signature
121,东营,🐒👌💩,山东,1,立志如山，不如山不能坚定。行道如水，不如水不能曲达。
122,Miami Beach,🚙夏夜🌛星空❇,Florida,1,做个有钱人！
123,青岛,傻子一休,山东,1,来者何来，去者过客
124,吉安,carrier wave,江西,1,
125,,future,,1,
126,青岛,李先生。,山东,1,只管心善，莫问前程
127,,喂   这世界,,1,
128,昌平,飓风,北京,1,
129,济南,小马,山东,1,身怀仁义，开大门，走大路，无愧于心。
130,聊城,高晓沛,山东,1,拨云见日  未来可期
131,杭州,常想一二,浙江,1,除了死亡，其他的事我都选择直接面对。
132,,顽主,Kowloon City,1,啦啦～～
133,,悟,,1,
134,武汉,张安岭,湖北,1,步乱世之劫，横扫武道巅峰。辟黑夜之光，一问天下英雄。
135,淮北,西了个茜,安徽,2,"所有想要的都得靠自己的努力才能得到<span class=""emoji emoji1f604""></span><span class=""emoji emoji1f604""></span><span class=""emoji emoji1f604""></span><span class=""emoji emoji1f604""></span>"
136,德州,文婷,山东,2,独走的路是最美的风景，放空的心是最好的礼物！
137,,Red,Victoria,2,Time will accompany me through a lot of travel
138,周口,亦霖,河南,1,做难事，让自己成长更快！
139,邯郸,水墨丹青,河北,1,生命中一定有一个人，一直在等着你
140,青岛,于某人,山东,1,best never rest！
141,,惑之,,1,
142,,Do it,,0,Believe in love
143,烟台,比芯 唐唐,山东,1,一笑泯恩仇！
144,济南,a123,山东,2,格林家的公主
145,临沂,蜗牛小七,山东,2,愿多年以后我提着老酒，你还是我老友
146,,大雷,,1,睡午觉～
147,济南,王延,山东,1,"Not the next someone, but the first me."
148,,OUT—MAN,,1,
149,淄博,学无止境,山东,1,不忘初心，静心学习，耐心沉淀。
150,徐汇,兵,上海,1,
151,怀柔,绿光®,北京,2,不求深刻，只求简单
152,南京,Supreme,江苏,2,
153,青岛,樊明灿,山东,1,
154,徐州,123456,江苏,1,当你觉得清闲时，说明别人正在悄悄的赶超你
155,青岛,大存,山东,1,substantial figure
156,淄博,侯华玲，中国式管理及心理建设,山东,2,作为培训师，我的使命是支持更多个人和企业提升创造财富的能力！
157,,Jochen,,1,U can do it
158,广州,SINTEL,广东,1,你来人间一趟，你要看看太阳。和你的心上人，一起走在街上
159,,A万能资料铺掌柜 号满加WNZLP888,,1,课程需付费 不喜勿扰
160,淄博,郑玉智 中国式管理及心理建设,山东,1,传道，授业，解惑，毕生事业，永远在路上……
161,徐汇,韩玘桓,上海,1,
162,青岛,fang,山东,2,
163,青岛,常计红,山东,1,凡事必细
164,海淀,bilker,北京,1,平淡即幸福
165,海淀,SnowLiJ,北京,1,"<span class=""emoji emoji1f1e81f1f3""></span> <span class=""emoji emoji1f1e81f1f3""></span> <span class=""emoji emoji1f1e81f1f3""></span> <span class=""emoji emoji1f1e81f1f3""></span> <span class=""emoji emoji1f1e81f1f3""></span>"
166,河东,李杨,天津,1,坚持比努力可怕
167,新乡,"不
需要
解释",河南,1,
168,,Q,北京,2,It’s all a new beginning.
169,海淀,张永男,北京,1,感恩生活，快乐生活。
170,海淀,萌芽,北京,1,
171,六安,花开不败,安徽,2,把行动交给现在，把结果交给未来
172,吕梁,刘美美 💕,山西,2,"Eat Clean,Train Mean,
Stay Lean,Enjoy Life."
173,保定,小鸟绿茶,河北,1,
174,Sydney,子夜,New South Wales,1,将来的你一定会感激现在拼命的自己
175,,If I were a photographer,,1,
176,海淀,十六郎,北京,1,修身齐家……
177,泰安,王一阁,山东,1,
178,扬州,小狮,江苏,2,温柔半两，从容一生。
179,石家庄,张琪,河北,2,你就像阳光一样温暖
180,海淀,锖青磁,北京,2,一天不学习就头疼
181,阳泉,有些人,山西,1,
182,,阿凡提,,0,
183,郑州,风中的想念,河南,1,
184,无锡,微光,江苏,2,所有的离别都是为了更好的重逢
185,合肥,xhn,安徽,1,新号码:18810922024
186,,dadadebabababa,,2,勿忘初心。
187,,张18210929859,,1,我是冯博博的
188,保定,sweet,河北,2,愿做闲云野鹤
189,张家口,李恒轩,河北,1,新号：18715990286
190,,Capella,Frankfurt,1,我遇见谁会有怎样的对白，我等的人她在多远的未来。
191,,.,北京,1,
192,,&amp;z伟,北京,1,远方的路
193,,三叶草,,2,
194,丰台,Yu.H,北京,1,Maybe we're just sleepwalking
195,海淀,朱力,北京,1,谢谢你没有屏蔽我。
196,海淀,上官伟,北京,1,
197,兰州市,好名字可以让你的朋友更容易记住你,甘肃,1,
198,,玉米,Coloane,2,
199,郑州,赵天浩,河南,1,做一个阳光  真诚   善良的人
200,沧州,小佛安,河北,2,
201,,nothing,,2,
202,,柳卓明,Cork,2,
203,海淀,小p,北京,2,
204,大连,小猪,辽宁,1,
205,张家口,BigPeng,河北,1,doyouhaveplan
206,,曹越,北京,1,
207,,卡布 ~奇洛,Offaly,1,
208,,炀,北京,1,
209,,无欲则刚。,,2,beautiful girl ，all over the world
210,衡水,宋Xiao灰,河北,1,
211,吕梁,雨后彩虹,山西,1,
212,海淀,发财,北京,1,人生在于折腾！！
213,济南,郑家大小姐,山东,2,forever youthful ，forever weeping
214,,是事可可,,1,
215,海淀,Soar,北京,1,
216,昌平,疾风,北京,1,
217,,T-Monster,,1,
218,,今天学习了吗,北京,1,欲行非常之事，须用非常之法
219,海淀,萌仔,北京,2,清
220,,刘向龙,,1,
221,三亚,昵称好麻烦,海南,1,无论后来的故事怎么了，也要让后来的人生精彩着
222,临汾,王亚珊,山西,2,
223,青岛,董__,山东,2,
224,济南,洞烛机微,山东,1,静以修身，勤以克愚，俭以养德
225,,吴晓东,,1,知行合一
226,,叶子,,0,本是青灯不归客，却因浊酒恋红尘
227,兰州市,🐳,甘肃,2,君子有所为，有所不为
228,朝阳,武壮壮,北京,2,你问我要去向何方 我指着大海的方向
229,,H勇超,北京,1,
230,,E.K.,山西,1,看前面，晋太元中
231,,海,,1,
232,,长歌,,1,为中华之崛起而学习
233,德阳,向楠楠,四川,2,
234,海淀,龙小羽,北京,1,
235,,转转,,0,
236,青岛,茗记在馨,山东,1,己所不欲，勿施于人；己所欲者，慎施于人
237,,李学英,上海,2,手机新号18717995334
238,晋中,范小宇,山西,1,不以物喜，不以己悲！
239,唐山,笑得有点甜🌼,河北,2,
240,,Leo🔅,北京,1,复习周不咋看手机 急事电联18811757167
241,淄博,唐磊,山东,1,I am titanium
242,石家庄,一杯敬远方,河北,1,人生不如意十之八九，但幸有人可言之二三。
243,,舞干戚,,1,十年饮冰，难凉热血
244,青岛,Fun 儷,山东,2,"Don't rush and never settle. If it's meant to be, it will be"
245,,夏川,北京,1,所有的痛苦都是为了更彻底的幸福。
246,海淀,寒枫,北京,1,
247,,花开半亩,北京,2,菜是原罪
248,淄博,a good blacksmith to make steel,山东,1,男人就该有个男人样！！！🤔🤔🤔
249,滨州,紫熙,山东,2,把自己放低，把做的事放高！坚守一份责任!
250,,lee冷处偏佳,Amsterdam,2,我该如何回忆你 话你平凡或伟大
251,郑州,楠瓜默默不说话,河南,2,"<span class=""emoji emoji1f388""></span>不畏将来 <span class=""emoji emoji1f338""></span>"
252,洛阳,齐杭宇,河南,1,Thanksgiving Enjoy
253,苏州,念慈,江苏,2,敢于对自己的懒惰下黑手，才是真正对自己狠！
254,,李鹿原#,,0,
255,临沂,金角大王,山东,2,走向成熟
256,淄博,不可李豫,山东,1,someone LY
257,保定,R.A.B,河北,1,"Hufflepuff_四喜
独立之精神，自由之思想
脑回路 专注 效率 明朗"
258,菏泽,追风少年阿旭go,山东,1,当初的愿望实现了吗
259,淄博,蛋卷挺无敌,山东,2,
260,潍坊,尹志安,山东,1,0 0
261,海淀,zss,北京,2,万千言语之爱，不若默默寸心之行
262,吉安,猫猫的夏,江西,2,拒绝浮躁，保持初心
263,威海,Der Wind kommt,山东,1,我喜欢你，认真且怂，从一而终！
264,安庆,😈,安徽,0,be what you wanna be
265,淄博,晓儿,山东,2,
266,临沂,小学弟,山东,1,知道自己真正想要的，才是最重要的。
267,广州,小圆圈,广东,2,就问问你，长不长记性
268,新乡,Bright star,河南,1,
269,海淀,Z.C.Wang,北京,1,业精于勤荒于嬉，行成于思毁于随。
270,,户卓琳,,0,"未来可期<span class=""emoji emoji1f390""></span>  🙈"
271,,Clear,,1,红日渐暖，恰到好处
272,,柔荑,北京,2,当你找到自己的人生使命时，自律会成为你的本能。
273,临沂,赵勇,山东,1,
274,,牛奶小生,,1,沉浸，待花开烂熳时
275,济南,Jack Ronald,山东,1,人分两类 迷人乏味
276,镇江,勤奋的猫咪,江苏,1,真心活到老，学到老啊
277,威海,满天都是小草莓,山东,2,梅须逊雪三分白，雪却输梅一段香。
278,,月,,2,"<span class=""emoji emoji1f319""></span>"
279,青岛,李昂特,山东,1,人无完人
280,西安,🌙,陕西,2,越努力越幸运！！！
281,淄博,你好，陌生人。,山东,0,是真的我
282,青岛,哼哼,山东,2,墩儿就是天
283,,北方姑凉,,2,"小盼头儿<span class=""emoji emoji1f525""></span>"
284,济宁,长江集团 用心打造未来,山东,1,华腾科技 西西里西餐厅 云谱网
285,潍坊,&amp;,山东,1,never give up
286,,❇  和光同尘、,,1,
287,淄博,谢建华                 ,山东,2,不指责，不非议，不笑话，就是慈悲。
288,济南,林青,山东,1,宠辱不惊
289,浦东新区,BoBo,上海,1,18340897178
290,青岛,三菱重工海尔中央空调粤东李琦,山东,1,
291,吉林,尚志强,吉林,1,
292,,孔祥杉,北京,2,生如夏花
293,聊城,义歌,山东,1,天行健，君子以自强不息。
294,,小飞虫,,1,天若有情天易老，人间正道是沧桑。
295,南通,Spring,江苏,2,白日不到处  青春恰自来
296,,幻影,,1,慈不掌兵，善不为官，义不行商，情不立事，懒不治学.
297,浦东新区,皮卡丘,上海,2,谁还不是个小可爱！
298,潍坊,燁,山东,0,"相遇 一世结情缘 相思间 情意满
转身 一缕冷香远 逝雪深 笑意浅"
299,海淀,韬弢步觉,北京,1,
300,通州,👑,北京,2,
301,朝阳,张艳华🎀,北京,2,我和谁都不争，和谁争我都不屑。
302,,yyyfc,,2,you must do something
303,潍坊,颜小》七＂@_@（Danny）,山东,1,君子之交淡如水，不曾时常想起，却又无处不在。
304,青岛,sh,山东,1,
305,,大鲸 °,,2,
306,,张传旺,,1,
307,,🐾 🐽闫文彬🌸,Cuando Cubango,2,"<span class=""emoji emoji1f463""></span> 华山再高，顶有路过～<span class=""emoji emoji1f485""></span> <span class=""emoji emoji1f48b""></span>"
308,海淀,嘻嘻不是洗洗,北京,2,逗逼颂的小可爱们，爱死你们了
309,海淀,H,北京,2,愿你成为自己的太阳，无需凭借谁的光
310,,王少华,Paris,1,"""蓝五红二""计划"
311,Seattle,名字好难起～,Washington,1,
312,淄博,青花作笔丶,山东,1,既然琴瑟起，何以笙箫默
313,,智勇,,1,
314,,想晒太阳的咸鱼,,1,Curiosity kills the dog
315,海淀,Down,北京,1,可是我们总要长大啊
316,鄂尔多斯,🌷zy,内蒙古,2,
317,,我还是叫书俞吧,,2,因为别人看不起你 所以才要自立自强
318,石家庄,fiear(^.^),河北,2,"<span class=""emoji emoji1f609""></span>"
319,株洲,长恭,湖南,1,忠孝尊和，友信笃睦
320,郑州,我有些鱿鱼,河南,2,加油吧我的小勇士(｡•̀ᴗ-)✧
321,柳州,守着宝藏的巨龙,广西,2,
322,兰州市,Duanshn🍭,甘肃,2,
323,青岛,Chipper丶,山东,1,放低身段。
324,蚌埠,太阳下的可乐泡泡,安徽,2,美美的生活为了更美美的生活
325,朔州,馒头包子糖三角,山西,1,
326,,Aaron,,1,HOPE YOU WELL 
327,海淀,WiLyw,北京,1,
328,,Facingsun Wu,,1,认真做事 踏实做人
329,海淀,欢喜,北京,2,"今天是幸福的一天<span class=""emoji emoji1f33f""></span>"
330,揭阳,林少武不会做牛肉丸,广东,1,冷…静，冷静，总之先冷静下来找时光机
331,青岛,Jie,山东,1,保持微笑
332,海淀,是理智呀,北京,2,𓆡𓆝𓆜𓆞𓆝𓆟𓆜𓆝𓆜𓆞𓆝𓆟
333,海淀,Michelle,北京,2,逆风翻盘 向阳而生
334,青岛,东营,山东,1,自律，效率，不被媳妇绿
335,,h,,1,
336,东丽,王雯,天津,2,不经一番寒彻骨，怎得梅花扑鼻来。
337,,房建成（北航）,,0,
338,临沂,任庆玲,山东,2,但求心安 无问西东
339,,昭阳,,2,"哈哈<span class=""emoji emoji1f604""></span>"
340,淄博,凝水,山东,2,开开心心，潇潇洒洒(ง •̀_•́)ง
341,连云港,🌸 大花马齿苋🌸,江苏,2,打不倒你的，终将使你强大
342,海淀,想像之中、,北京,2,来日方长
343,临沂,。,山东,2,
344,,Anais_,,2,天涯海角，惟望军安
345,海淀,江浩,北京,1,"I’m 

yours 

under 

the 

Mistletoe 

!
"
346,,留儿,,2,天凉好个秋
347,兰州市,逾期不候,甘肃,2,We’ll dream it possible.
348,日照,七七向晚っ,山东,2,-终是庄周开了荤 昧着良心炖了鲲-
349,淄博,孙坤,山东,1,
350,庆阳,Dreamer,甘肃,1,认真！！！
351,临沂,王新栋,山东,1,努力拼搏，积极进取！
352,,张文俊,,1,任重道远
353,滨海新区,菠萝派,天津,2,
354,青岛,咩咩咩咩咩咩咩,山东,2,万事从心而为
355,商丘,咻啦咻啦咻,河南,2,希望我这个小朋友 让你牵挂 让你难忘
356,菏泽,No one,山东,1,月下门童喟叹，昨夜太平长安。
357,青岛,DR,山东,1,
358,淄博,liu-中合,山东,1,hehe
359,南开,晴空,天津,2,安然静好，任岁月流淌。
360,东营,Am ZQ. S,山东,1,天高云淡，正宜一马奔腾，风华正茂，我自纵横驰骋！
361,,syq,,1,做个对自己有要求的人。
362,海淀,研究僧中的小学僧🍉,北京,1,凡事预则立，不预则废。
363,青岛,💤Y,山东,1,Always
364,海淀,pass by。,北京,0,"Be always brave,always bright."
365,,米兰的小铁匠,,1,越努力越幸运。
366,济南,Aspirin0_0,山东,1,寤寐思服 辗转反侧
367,,Wú Yǎ Kūn😶,,1,Why I alive。
368,晋城,言午 小 木南、,山西,1,
369,海淀,S.ZhenKai,北京,1,"饮
水
思
源"
370,石景山,马帅,北京,1,想要摘星星的孩子，孤独是你们的必修课……
371,,Blingbling派大星🌟,,2,"好好做人，踏实做事。<span class=""emoji emoji1f525""></span>"
372,青岛,叮咚～～,山东,2,
373,青岛,夏木,山东,2,知足知不足，有为有不为。
374,Kailua,💪,Hawaii,2,"蜕变成优秀的自己<span class=""emoji emoji2764""></span>️"
375,,mate,,2,
376,石家庄,年少有为,河北,1,假如我年少有为知进退
377,巫山,李兴奎,重庆,1,"THOUSAND SUNNY
























too too many"
378,淄博,文第一,山东,2,心中连心湖畔的嘟着嘴的少年逝去，愿自己一生平和无忧
379,,🎀 LOLITA,Leitrim,2,"让我感谢你

赠我空欢喜

记得要忘记"
380,安庆,致之于行,安徽,1,
381,,张夕拾,北京,2,
382,襄阳,dsj,湖北,1,爱你用你喜欢的方式
383,,静,,0,
384,海淀,肖松举,北京,1,
385,大庆,Four leaf clover,黑龙江,2,勤能补拙是良训，一分耕耘一分才
386,,神说要有光,,1,慌得一批
387,,忘忧草,,2,
388,海淀,🥝,北京,2,温柔有力量
389,滁州,ZYJ,安徽,1,心如止水，处世不争。
390,,兴小哈,北京,1,不爱学习的好少年
391,沈阳,郭照杰,辽宁,1,you  are my sunshine!!!
392,,阿k,,2,爱生活～爱自由～
393,海淀,张雅榕🎈,北京,2,自信 自律 自觉
394,海淀,大兵兵哥,北京,1,闭关修炼。
395,,我是你的小废物！,,2,空空如也。
396,泰安,关,山东,2,
397,,张精精。,,0,
398,滨海新区,小陈琳棒棒哒,天津,2,
399,六安,李胖胖,安徽,1,曾梦想仗剑走天涯，因太胖取消原计划！
400,,Y.R,,0,Learn and live
401,Brisbane,马超,Queensland,1,I am big spring，oh yeah！
402,,ThankYou Kobe,Salzburg,1,
